,name,number_functions,r2,aic,bic,power_dev,duv,model
0,lorentzian_sec_ord,1,0.997007783515,-7556.17698869,-7544.04909019,-0.003,3.99129380145,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.013430893766520513 +/- 4.51e-05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=446.03557242619041 +/- 0.0296, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=13.678341145570659 +/- 0.0593, bounds=[1:300]>)])"
1,pearson_vii,1,0.997249408789,-7590.63295674,-7574.46242541,0.015,0.730562527604,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.013560306333988303 +/- 4.83e-05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=446.030738675066 +/- 0.0282, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=8.606638795766921 +/- 0.0477, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=1.71107880940778 +/- 0.0405, bounds=[1e-15:100]>)])"
2,logistic_power_peak,1,0.99669807068,-7513.72001814,-7497.54948681,-0.034,6.24856891423,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.013176108594154967 +/- 4.57e-05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=445.50049505858914 +/- 0.0473, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=4.579071486677817 +/- 0.0441, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=1.5238181248660165 +/- 0.0341, bounds=[0.001:100]>)])"
3,pearson_vii_split,1,0.998983114929,-8007.58221486,-7983.32641786,0.022,13.7078923495,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.013537046052093271 +/- 2.93e-05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=445.99504245683318 +/- 0.0539, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=8.7103728244479335 +/- 0.0682, bounds=[1:300]>), ('m0_sigmar', <Parameter 'm0_sigmar', value=8.5853353200336748 +/- 0.0688, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=2.5791420343037448 +/- 0.0976, bounds=[1e-15:100]>), ('m0_sr', <Parameter 'm0_sr', value=1.3410337498395997 +/- 0.0244, bounds=[1e-15:100]>)])"
4,gaussian_split,1,0.987922638772,-6967.75636169,-6951.58583035,-0.072,10.7565331166,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.53701046599573077 +/- 0.0034, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=445.31505196354669 +/- 0.159, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=7.7157043341429583 +/- 0.141, bounds=[1:300]>), ('m0_sigmar', <Parameter 'm0_sigmar', value=9.2166386553152648 +/- 0.146, bounds=[1:300]>)])"
5,Moffat,1,0.997249408789,-7590.63295674,-7574.46242541,0.015,0.730564459573,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.013560305256888783 +/- 4.83e-05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=446.0307378757151 +/- 0.0282, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=12.178405200860492 +/- 0.224, bounds=[1:300]>), ('m0_beta', <Parameter 'm0_beta', value=1.7110770137193931 +/- 0.0405, bounds=[1e-15:100]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=17.213279841715913 +/- 0.0953, bounds=[-inf:inf], expr='2*m0_sigma*sqrt(2**(1.0/max(1e-3, m0_beta))-1)'>), ('m0_height', <Parameter 'm0_height', value=0.013560305256888783 +/- 4.83e-05, bounds=[-inf:inf], expr='m0_amplitude'>)])"
6,SkewedVoigt,1,0.991091716973,-7095.88821948,-7079.71768814,-0.049,1.73244098269,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.27562411545890109 +/- 0.00149, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=439.80626094623528 +/- 0.258, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=10.355174786648528 +/- 0.235, bounds=[1:300]>), ('m0_skew', <Parameter 'm0_skew', value=1.2067128110880743 +/- 0.0854, bounds=[1e-15:100]>), ('m0_gamma', <Parameter 'm0_gamma', value=1 (fixed), bounds=[1e-15:10]>)])"
7,SkewedGaussian,1,0.989562865689,-7029.20664734,-7013.03611601,-0.067,9.4124097767,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.27008839498616311 +/- 0.0016, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=439.14606352113043 +/- 0.196, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=11.616701296696926 +/- 0.202, bounds=[1:300]>), ('m0_gamma', <Parameter 'm0_gamma', value=1.5119885803398034 +/- 0.0818, bounds=[-100:100]>)])"
8,Lognormal,1,-0.0917516302557,-5072.47726949,-5060.34937099,-1.0,,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0010000000000020002, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=450.0, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=9.9999999999999947, bounds=[1:300]>), ('m0_height', <Parameter 'm0_height', value=7.6404212627006295e-179, bounds=[-inf:inf], expr='m0_amplitude/max(1e-15, (m0_sigma*sqrt(2*pi)))*exp(m0_sigma**2/2-m0_center)'>), ('m0_fwhm', <Parameter 'm0_fwhm', value=1.3076617583111681e+157, bounds=[-inf:inf], expr='exp(m0_center-m0_sigma**2+m0_sigma*sqrt(2*log(2)))-exp(m0_center-m0_sigma**2-m0_sigma*sqrt(2*log(2)))'>)])"
9,Voigt,1,0.995457436198,-7380.41910656,-7368.29120805,0.056,18.5472131882,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.3126066436086604 +/- 0.0013, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=446.01989046644223 +/- 0.0363, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=4.872659620113268 +/- 0.0264, bounds=[1:300]>), ('m0_gamma', <Parameter 'm0_gamma', value=4.872659620113268 +/- 0.0264, bounds=[-inf:inf], expr='m0_sigma'>), ('m0_fwhm', <Parameter 'm0_fwhm', value=17.547863472991271 +/- 0.0578, bounds=[-inf:inf], expr='1.0692*m0_gamma+sqrt(0.8664*m0_gamma**2+5.545083*m0_sigma**2)'>), ('m0_height', <Parameter 'm0_height', value=0.013389793821045494 +/- 4.24e-05, bounds=[-inf:inf], expr='(m0_amplitude/(max(1e-15, m0_sigma*sqrt(2*pi))))*wofz((1j*m0_gamma)/(max(1e-15, m0_sigma*sqrt(2)))).real'>)])"
