,name,number_functions,r2,aic,bic,power_dev,duv,model
0,sigmoid_double_asymm,1,0.99953863506,-9007.06984602,-8986.85668185,-0.003,1.2596361829,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0098305047664292156 +/- 0.000338, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=515.80045821333908 +/- 0.205, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=13.531797542179483 +/- 0.986, bounds=[1:300]>), ('m0_s1', <Parameter 'm0_s1', value=12.740556965630869 +/- 0.11, bounds=[1e-15:100]>), ('m0_s2', <Parameter 'm0_s2', value=7.8475238421837465 +/- 0.0451, bounds=[1e-15:100]>)])"
1,lorentzian_sec_ord,1,0.9934492619,-7892.07717975,-7879.94928125,0.037,9.4230254954,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0044813135187847805 +/- 2.14e-05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=519.40072670995562 +/- 0.0841, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=27.219776877019829 +/- 0.168, bounds=[1:300]>)])"
2,logistic_asymm_peak,1,-0.0869908461116,-5739.10586384,-5722.93533251,-0.322,192.568396503,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0026216466460237129 +/- 7.6e+04, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=566.30311991052963 +/- 3.31e+08, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=299.99999940725621 +/- 51.7, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=0.078292515926554507 +/- 1.88e+06, bounds=[1e-15:100]>)])"
3,pearson_vii,1,0.00117900988016,-5774.71947151,-5758.54894017,0.006,189.516060567,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0010493241951025087 +/- 0.639, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=451.65561311405617 +/- 5.52, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=16.400226014305211 +/- 9.65e+04, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=0.051771971575127362 +/- 0.0485, bounds=[1e-15:100]>)])"
4,gaussian_split,1,0.997121115553,-8237.22117794,-8221.05064661,-0.033,7.17202932709,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.35696610920907912 +/- 0.00106, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=516.49178109224783 +/- 0.145, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=13.845789729929837 +/- 0.127, bounds=[1:300]>), ('m0_sigmar', <Parameter 'm0_sigmar', value=19.540177780633208 +/- 0.136, bounds=[1:300]>)])"
5,Gaussian,1,0.993264340946,-7880.35741135,-7868.22951285,-0.038,10.0200175456,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.17764059975262192 +/- 0.000807, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=519.5780376702901 +/- 0.087, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=16.59025847464592 +/- 0.087, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=39.06707246126571 +/- 0.205, bounds=[-inf:inf], expr='2.3548200*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=0.004271684467544315 +/- 1.94e-05, bounds=[-inf:inf], expr='0.3989423*m0_amplitude/max(1e-15, m0_sigma)'>)])"
6,SkewedVoigt,1,0.998730824608,-8582.03511612,-8565.86458478,-0.019,3.97951573087,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.18145283223437547 +/- 0.000359, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=505.03762159045641 +/- 0.109, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=23.122908878570577 +/- 0.126, bounds=[1:300]>), ('m0_skew', <Parameter 'm0_skew', value=1.6889717072288712 +/- 0.0274, bounds=[1e-15:100]>), ('m0_gamma', <Parameter 'm0_gamma', value=1 (fixed), bounds=[1e-15:10]>)])"
7,logistic_power_peak,1,0.9993351386,-8854.23017043,-8838.0596391,0.007,1.31699421273,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0044321030767801037 +/- 6.64e-06, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=517.91056316630011 +/- 0.0402, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=8.6802650545602233 +/- 0.0366, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=1.6909052527881894 +/- 0.0158, bounds=[0.001:100]>)])"
8,SplitLorentzian,1,0.979021379453,-7401.07266714,-7384.9021358,0.17,28.2418683257,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.2266692066299879 +/- 0.00211, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=516.9329990097184 +/- 0.269, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=13.084978188499162 +/- 0.32, bounds=[1:300]>), ('m0_sigma_r', <Parameter 'm0_sigma_r', value=17.762530459792185 +/- 0.356, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=30.847508648291345 +/- 0.406, bounds=[-inf:inf], expr='m0_sigma+m0_sigma_r'>), ('m0_height', <Parameter 'm0_height', value=0.004677917372227274 +/- 4.36e-05, bounds=[-inf:inf], expr='2*m0_amplitude/3.1415927/max(0.0000000, (m0_sigma+m0_sigma_r))'>)])"
9,Lorentzian,1,0.975889850625,-7343.49095851,-7331.36306001,0.163,28.011638842,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.22589549053107605 +/- 0.00226, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=519.2585175625167 +/- 0.153, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=15.360055123180624 +/- 0.217, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=30.720110246361248 +/- 0.435, bounds=[-inf:inf], expr='2.0000000*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=0.00468128339545362 +/- 4.68e-05, bounds=[-inf:inf], expr='0.3183099*m0_amplitude/max(1e-15, m0_sigma)'>)])"
10,SkewedGaussian,1,-0.182082579852,-5703.79886969,-5687.62833835,-1.0,,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0011072978927227925, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=784.93682924808309, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=30.72663668872914, bounds=[1:300]>), ('m0_gamma', <Parameter 'm0_gamma', value=95.441785348666656, bounds=[-100:100]>)])"
11,Voigt,1,0.991261673852,-7770.76985044,-7758.64195194,0.093,16.3578301197,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.20829274312395663 +/- 0.00116, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=519.3691758744258 +/- 0.0972, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=9.768907794010913 +/- 0.0708, bounds=[1:300]>), ('m0_gamma', <Parameter 'm0_gamma', value=9.768907794010913 +/- 0.0708, bounds=[-inf:inf], expr='m0_sigma'>), ('m0_fwhm', <Parameter 'm0_fwhm', value=35.180676183894612 +/- 0.155, bounds=[-inf:inf], expr='1.0692*m0_gamma+sqrt(0.8664*m0_gamma**2+5.545083*m0_sigma**2)'>), ('m0_height', <Parameter 'm0_height', value=0.0044501012264305338 +/- 1.88e-05, bounds=[-inf:inf], expr='(m0_amplitude/(max(1e-15, m0_sigma*sqrt(2*pi))))*wofz((1j*m0_gamma)/(max(1e-15, m0_sigma*sqrt(2)))).real'>)])"
12,Pearson7,1,0.995242835281,-8025.77436186,-8009.60383053,-0.005,6.79853414151,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.1836360180681017 +/- 0.000892, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=519.4814727031169 +/- 0.0727, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=41.16525412513186 +/- 1.8, bounds=[1:300]>), ('m0_expon', <Parameter 'm0_expon', value=3.772072016413398 +/- 0.271, bounds=[1e-15:100]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=36.977726440255566 +/- 0.238, bounds=[-inf:inf], expr='sqrt(2**(1/m0_expon)-1)*2*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=0.004382636697372118 +/- 1.91e-05, bounds=[-inf:inf], expr='m0_amplitude * gamfcn(m0_expon)/max(1e-15, (gamfcn(0.5)*gamfcn(m0_expon-0.5)*m0_sigma))'>)])"
13,pearson_vii_split,1,0.999736271817,-9241.53591909,-9217.28012208,0.001,1.16699313112,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.004376771329473895 +/- 4.48e-06, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=518.05833683617868 +/- 0.0606, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=17.324851436560731 +/- 0.0732, bounds=[1:300]>), ('m0_sigmar', <Parameter 'm0_sigmar', value=19.877056804040517 +/- 0.0754, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=29.852268275499799 +/- 7.37, bounds=[1e-15:100]>), ('m0_sr', <Parameter 'm0_sr', value=2.3420801792044488 +/- 0.0381, bounds=[1e-15:100]>)])"
14,Lognormal,1,-0.179254631096,-5705.79886969,-5693.67097119,-1.0,,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0010000000000020002, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=450.0, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=9.9999999999999947, bounds=[1:300]>), ('m0_height', <Parameter 'm0_height', value=7.6404212627006295e-179, bounds=[-inf:inf], expr='m0_amplitude/max(1e-15, (m0_sigma*sqrt(2*pi)))*exp(m0_sigma**2/2-m0_center)'>), ('m0_fwhm', <Parameter 'm0_fwhm', value=1.3076617583111681e+157, bounds=[-inf:inf], expr='exp(m0_center-m0_sigma**2+m0_sigma*sqrt(2*log(2)))-exp(m0_center-m0_sigma**2-m0_sigma*sqrt(2*log(2)))'>)])"
15,StudentsT,1,-0.1792498814,-5705.80056536,-5693.67266686,-1.0,533.635572308,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=9.374944231022111e-05 +/- 0.00672, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=450.01315351516627 +/- 50.8, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=1.0000011231936992 +/- 9.02, bounds=[1:300]>), ('m0_height', <Parameter 'm0_height', value=2.9841380785393327e-05 +/- 0.00219, bounds=[-inf:inf], expr='m0_amplitude*gamfcn((m0_sigma+1)/2)/(sqrt(m0_sigma*pi)*gamfcn(m0_sigma/2))'>), ('m0_fwhm', <Parameter 'm0_fwhm', value=2.0000003446548384 +/- 2.77, bounds=[-inf:inf], expr='2*sqrt(2**(2/(m0_sigma+1))*m0_sigma-m0_sigma)'>)])"
16,Moffat,1,0.995242835281,-8025.77436181,-8009.60383047,-0.005,6.79863733738,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.004382630150291279 +/- 1.91e-05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=519.4814363259464 +/- 0.0727, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=41.16591157890905 +/- 1.8, bounds=[1:300]>), ('m0_beta', <Parameter 'm0_beta', value=3.772160332246944 +/- 0.271, bounds=[1e-15:100]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=36.977843144868864 +/- 0.238, bounds=[-inf:inf], expr='2*m0_sigma*sqrt(2**(1.0/max(1e-3, m0_beta))-1)'>), ('m0_height', <Parameter 'm0_height', value=0.004382630150291279 +/- 1.91e-05, bounds=[-inf:inf], expr='m0_amplitude'>)])"
17,PseudoVoigt,1,0.956659312739,-7095.60011767,-7079.42958634,0.075,18.6739187304,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.20598544430955423 +/- 0.00241, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=519.4108998579553 +/- 0.0926, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=5.679258991600692 +/- 0.0876, bounds=[1:300]>), ('m0_fraction', <Parameter 'm0_fraction', value=2.0207979957355358 +/- 0.0156, bounds=[1e-15:100]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=11.358517983201384 +/- 0.175, bounds=[-inf:inf], expr='2.0000000*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=0.0059392530282585988 +/- 7.66e-05, bounds=[-inf:inf], expr='(((1-m0_fraction)*m0_amplitude)/max(1e-15, (m0_sigma*sqrt(pi/log(2))))+(m0_fraction*m0_amplitude)/max(1e-15, (pi*m0_sigma)))'>)])"
18,ExponentialGaussian,1,0.999564222223,-9032.08000799,-9015.90947666,-0.011,1.85987474311,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.18250172762950367 +/- 0.000225, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=508.59165090117108 +/- 0.0529, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=12.870422396632565 +/- 0.0394, bounds=[1:300]>), ('m0_gamma', <Parameter 'm0_gamma', value=0.072594700378374455 +/- 0.000468, bounds=[-100:100]>)])"
0,logistic_asymm_peak+logistic_asymm_peak,2,-0.193531321545,-5695.79886969,-5663.45780702,-1.0,589.867402156,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=9.6067418393663466, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=789.37137837784849, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=299.07540697138785, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=77.20671811498876, bounds=[1e-15:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=9.4212391036490892, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=687.47255928736706, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=253.62636540303509, bounds=[1:300]>), ('m1_s', <Parameter 'm1_s', value=58.684646903167582, bounds=[1e-15:100]>)])"
1,SkewedGaussian+SkewedGaussian,2,-0.193531321545,-5695.79886969,-5663.45780702,-1.0,,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.00060239665649708472, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=783.83853983242409, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=18.927197712018103, bounds=[1:300]>), ('m0_gamma', <Parameter 'm0_gamma', value=95.511682249821064, bounds=[-100:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0006023968955558575, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=783.83853983203016, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=18.927178183523846, bounds=[1:300]>), ('m1_gamma', <Parameter 'm1_gamma', value=95.5116819950685, bounds=[-100:100]>)])"
2,lorentzian_sec_ord+lorentzian_sec_ord,2,0.993401907172,-7886.0771801,-7861.8213831,0.037,9.42317273548,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=1.0000000000000001e-15 +/- 1.21e-07, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=402.07792442966127 +/- 2.43e+06, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=12.111143984817923 +/- 4.87e+06, bounds=[1:300]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0044813069827630567 +/- 2.15e-05, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=519.40070315646915 +/- 0.0844, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=27.21985625137669 +/- 0.169, bounds=[1:300]>)])"
