,name,number_functions,r2,aic,bic,power_dev,duv,model
0,gaussian_split,1,-0.0825101413934,-5427.31009113,-5411.13955979,-1.0,552.189934518,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=4.7058855729865368e-05 +/- 0.0175, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=447.69560416552144 +/- 8.62e+03, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=9.8090640204228361 +/- 7.73e+03, bounds=[1:300]>), ('m0_sigmar', <Parameter 'm0_sigmar', value=16.699762278845455 +/- 9.65e+03, bounds=[1:300]>)])"
1,lorentzian_sec_ord,1,0.989499845856,-7379.90946946,-7367.78157096,-0.01,7.53178799594,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0093904522935183143 +/- 5.96e-05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=631.39705700136142 +/- 0.0488, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=11.904678462404325 +/- 0.0975, bounds=[1:300]>)])"
2,logistic_asymm_peak,1,-0.0825101459225,-5427.31008936,-5411.13955803,-1.0,568.406470825,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=2.4662153530554668e-07 +/- 0.000305, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=453.7556810922448 +/- 1.65e+04, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=12.747386788323572 +/- 6.04e+03, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=1.2800461408752417 +/- 1.68e+03, bounds=[1e-15:100]>)])"
3,SkewedGaussian,1,-0.082510148785,-5427.31008825,-5411.13955692,-1.0,,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.00025968582446178693, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=782.71303169392718, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=10.046417725764531, bounds=[1:300]>), ('m0_gamma', <Parameter 'm0_gamma', value=95.580482278060543, bounds=[-100:100]>)])"
4,StudentsT,1,-0.0799203941015,-5429.31009507,-5417.18219657,-1.0,559.378849954,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=6.537158315667835e-06 +/- 0.00299, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=449.9667133408881 +/- 271, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=1.0580762835140172 +/- 1.83e+03, bounds=[1:300]>), ('m0_height', <Parameter 'm0_height', value=2.103223434276946e-06 +/- 0.00154, bounds=[-inf:inf], expr='m0_amplitude*gamfcn((m0_sigma+1)/2)/(sqrt(m0_sigma*pi)*gamfcn(m0_sigma/2))'>), ('m0_fwhm', <Parameter 'm0_fwhm', value=2.0170147154352067 +/- 513, bounds=[-inf:inf], expr='2*sqrt(2**(2/(m0_sigma+1))*m0_sigma-m0_sigma)'>)])"
5,pearson_vii,1,-0.0104763427941,-5456.30044715,-5440.12991581,-0.268,326.251811214,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.00062260775818934265 +/- 202, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=449.69721494058109 +/- 647, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=1.8406171739323065 +/- 3.01e+08, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=0.00099126976040409074 +/- 0.108, bounds=[1e-15:100]>)])"
6,logistic_power_peak,1,0.994540848605,-7654.29251421,-7638.12198287,-0.056,9.37547404816,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0091305226425041353 +/- 4.02e-05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=632.20380543431236 +/- 0.0532, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=5.8652815305914503 +/- 0.0638, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=0.30635969936579677 +/- 0.0216, bounds=[0.001:100]>)])"
7,pearson_vii_split,1,-0.0877270562745,-5423.31009169,-5399.05429469,-1.0,545.228960207,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=7.5579412273176764e-07 +/- 0.000245, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=469.26483926732413 +/- 1.02e+04, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=36.15337184807823 +/- 1.63e+04, bounds=[1:300]>), ('m0_sigmar', <Parameter 'm0_sigmar', value=9.3367669586666207 +/- 1.28e+04, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=1.3963175381223447 +/- 5.09e+03, bounds=[1e-15:100]>), ('m0_sr', <Parameter 'm0_sr', value=4.1369958352108673 +/- 4.87e+04, bounds=[1e-15:100]>)])"
8,sigmoid_double_asymm,1,0.997782216184,-8032.53377852,-8012.32061435,-0.037,5.39841869113,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.029537361342253265 +/- 0.00331, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=635.29237130857575 +/- 0.474, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=1.0000000001943441 +/- 1.34, bounds=[1:300]>), ('m0_s1', <Parameter 'm0_s1', value=2.9281290660302561 +/- 0.0277, bounds=[1e-15:100]>), ('m0_s2', <Parameter 'm0_s2', value=6.9196994753092333 +/- 0.135, bounds=[1e-15:100]>)])"
9,Lorentzian,1,0.983287680012,-7184.24709503,-7172.11919653,0.141,36.1385805584,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.206983606358092 +/- 0.0018, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=631.5597005180102 +/- 0.0577, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=6.6546011657939825 +/- 0.0816, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=13.309202331587965 +/- 0.163, bounds=[-inf:inf], expr='2.0000000*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=0.009900658116093523 +/- 8.59e-05, bounds=[-inf:inf], expr='0.3183099*m0_amplitude/max(1e-15, m0_sigma)'>)])"
