,name,number_functions,r2,aic,bic,power_dev,duv,model
0,logistic_asymm_peak+logistic_asymm_peak,2,-0.696749851583,-5871.91906662,-5839.57800395,-1.0,544.698396237,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=48.712367684263484, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=401.24768176249358, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=258.78514353501032, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=45.375737749349852, bounds=[1e-15:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=48.393305300770827, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=600.36662429117087, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=165.76321861699765, bounds=[1:300]>), ('m1_s', <Parameter 'm1_s', value=25.582338115982406, bounds=[1e-15:100]>)])"
1,lorentzian_sec_ord+lorentzian_sec_ord,2,0.947285362942,-7335.41903193,-7311.16323493,0.03,8.69354733751,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=8.6408866535215534e-05 +/- 0.000107, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=445.50796578172987 +/- 3.27, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=4.0732666684573555 +/- 6.57, bounds=[1:300]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0021441874175142104 +/- 2.48e-05, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=559.56020612801058 +/- 0.569, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=76.187282411770809 +/- 1.16, bounds=[1:300]>)])"
2,Gaussian+Gaussian,2,0.954383525,-7396.30582639,-7372.05002939,-0.025,6.43053571922,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0039797863011902255 +/- 0.00104, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=441.57453157629095 +/- 2.42, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=8.256710340206276 +/- 2.44, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=19.443066643324542 +/- 5.75, bounds=[-inf:inf], expr='2.3548200*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=0.0001922926971016469 +/- 4.88e-05, bounds=[-inf:inf], expr='0.3989423*m0_amplitude/max(1e-15, m0_sigma)'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.23508397566039496 +/- 0.00239, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=561.1791265792672 +/- 0.527, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=45.25635594263265 +/- 0.54, bounds=[1:300]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=106.57057210083023 +/- 1.27, bounds=[-inf:inf], expr='2.3548200*m1_sigma'>), ('m1_height', <Parameter 'm1_height', value=0.002072304320347502 +/- 2.09e-05, bounds=[-inf:inf], expr='0.3989423*m1_amplitude/max(1e-15, m1_sigma)'>)])"
3,logistic_power_peak+logistic_power_peak,2,0.980111644117,-7743.82627808,-7711.48521541,0.037,5.17231635087,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0022136637369895027 +/- 1.57e-05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=547.36823291271253 +/- 0.501, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=16.590437518641387 +/- 0.379, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=3.4262221269920565 +/- 0.13, bounds=[0.001:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.00023850629316635253 +/- 3.03e-05, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=445.69685548837958 +/- 2.13, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=9.4466355642952315 +/- 2.82, bounds=[1:300]>), ('m1_s', <Parameter 'm1_s', value=0.0010001070351373128 +/- 0.101, bounds=[0.001:100]>)])"
4,gaussian_split+gaussian_split,2,0.997599237,-8633.96671267,-8601.62565,0.0,1.53766431239,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.4744514108212593 +/- 0.00108, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=533.52295627468118 +/- 0.26, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=21.237189363994858 +/- 0.221, bounds=[1:300]>), ('m0_sigmar', <Parameter 'm0_sigmar', value=68.657006925236729 +/- 0.278, bounds=[1:300]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.016093904134402037 +/- 0.000577, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=446.71756771216883 +/- 1.35, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=14.451084614882602 +/- 1.25, bounds=[1:300]>), ('m1_sigmar', <Parameter 'm1_sigmar', value=11.085642463529584 +/- 1.2, bounds=[1:300]>)])"
5,Lognormal+Lognormal,2,-0.688572743865,-5875.91906662,-5851.66326962,-1.0,,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0010000000000020002, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=450.0, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=9.9999999999999947, bounds=[1:300]>), ('m0_height', <Parameter 'm0_height', value=7.6404212627006295e-179, bounds=[-inf:inf], expr='m0_amplitude/max(1e-15, (m0_sigma*sqrt(2*pi)))*exp(m0_sigma**2/2-m0_center)'>), ('m0_fwhm', <Parameter 'm0_fwhm', value=1.3076617583111681e+157, bounds=[-inf:inf], expr='exp(m0_center-m0_sigma**2+m0_sigma*sqrt(2*log(2)))-exp(m0_center-m0_sigma**2-m0_sigma*sqrt(2*log(2)))'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0010000000000020002, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=450.0, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=9.9999999999999947, bounds=[1:300]>), ('m1_height', <Parameter 'm1_height', value=7.6404212627006295e-179, bounds=[-inf:inf], expr='m1_amplitude/max(1e-15, (m1_sigma*sqrt(2*pi)))*exp(m1_sigma**2/2-m1_center)'>), ('m1_fwhm', <Parameter 'm1_fwhm', value=1.3076617583111681e+157, bounds=[-inf:inf], expr='exp(m1_center-m1_sigma**2+m1_sigma*sqrt(2*log(2)))-exp(m1_center-m1_sigma**2-m1_sigma*sqrt(2*log(2)))'>)])"
6,Lorentzian+Lorentzian,2,0.971968311925,-7601.30477007,-7577.04897306,0.059,6.1037075161,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.19759234679927562 +/- 0.00863, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=578.7753488431791 +/- 1.2, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=38.095297436366145 +/- 1.19, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=76.19059487273229 +/- 2.38, bounds=[-inf:inf], expr='2.0000000*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=0.0016510069321680103 +/- 3.79e-05, bounds=[-inf:inf], expr='0.3183099*m0_amplitude/max(1e-15, m0_sigma)'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0901430539633773 +/- 0.00704, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=532.272881527095 +/- 0.562, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=19.173486926698516 +/- 1.08, bounds=[1:300]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=38.34697385339703 +/- 2.16, bounds=[-inf:inf], expr='2.0000000*m1_sigma'>), ('m1_height', <Parameter 'm1_height', value=0.0014965158190825727 +/- 5.33e-05, bounds=[-inf:inf], expr='0.3183099*m1_amplitude/max(1e-15, m1_sigma)'>)])"
7,SkewedGaussian+SkewedGaussian,2,0.988615407209,-7978.69102044,-7946.34995777,-0.026,9.46413600391,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=1.711057416872385e-07 +/- 0.00179, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=556.883915288916 +/- 3.74e+04, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=48.075905615134609 +/- 4.2e+05, bounds=[1:300]>), ('m0_gamma', <Parameter 'm0_gamma', value=-88.36316502958455 +/- 1.16e+07, bounds=[-100:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.2389149789424182 +/- 0.00179, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=511.12617714346669 +/- 0.402, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=78.96252225412826 +/- 0.624, bounds=[1:300]>), ('m1_gamma', <Parameter 'm1_gamma', value=4.5368151460691877 +/- 0.149, bounds=[-100:100]>)])"
8,SplitLorentzian+SplitLorentzian,2,0.985569684269,-7878.88441528,-7846.54335261,0.047,1.99947137021,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.15076962779361314 +/- 0.0164, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=522.0181848799057 +/- 0.694, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=11.809886851987475 +/- 0.899, bounds=[1:300]>), ('m0_sigma_r', <Parameter 'm0_sigma_r', value=46.24709283681678 +/- 5.04, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=58.05697968880426 +/- 5.28, bounds=[-inf:inf], expr='m0_sigma+m0_sigma_r'>), ('m0_height', <Parameter 'm0_height', value=0.0016532538416993323 +/- 5.4e-05, bounds=[-inf:inf], expr='2*m0_amplitude/3.1415927/max(0.0000000, (m0_sigma+m0_sigma_r))'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.1359897608937798 +/- 0.0158, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=579.1246571044127 +/- 1.85, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=35.27798686016923 +/- 2.85, bounds=[1:300]>), ('m1_sigma_r', <Parameter 'm1_sigma_r', value=38.073478425004204 +/- 2.84, bounds=[1:300]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=73.35146528517343 +/- 3.32, bounds=[-inf:inf], expr='m1_sigma+m1_sigma_r'>), ('m1_height', <Parameter 'm1_height', value=0.001180259576397034 +/- 9.92e-05, bounds=[-inf:inf], expr='2*m1_amplitude/3.1415927/max(0.0000000, (m1_sigma+m1_sigma_r))'>)])"
9,PseudoVoigt+PseudoVoigt,2,0.876672466132,-6975.62367785,-6943.28261518,0.148,2.96087244063,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.45822451296612765 +/- 0.0291, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=426.8726993621424 +/- 2.02, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=58.83462723991689 +/- 0.909, bounds=[1:300]>), ('m0_fraction', <Parameter 'm0_fraction', value=3.5416213607056832 +/- 0.109, bounds=[1e-15:100]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=117.66925447983378 +/- 1.82, bounds=[-inf:inf], expr='2.0000000*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=-0.00051803285082384874 +/- 9.93e-05, bounds=[-inf:inf], expr='(((1-m0_fraction)*m0_amplitude)/max(1e-15, (m0_sigma*sqrt(pi/log(2))))+(m0_fraction*m0_amplitude)/max(1e-15, (pi*m0_sigma)))'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.2503932723724521 +/- 0.0222, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=462.10665909706455 +/- 1.65, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=33.8257428885118 +/- 2.21, bounds=[1:300]>), ('m1_fraction', <Parameter 'm1_fraction', value=2.1968427506806343 +/- 0.047, bounds=[1e-15:100]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=67.6514857770236 +/- 4.41, bounds=[-inf:inf], expr='2.0000000*m1_sigma'>), ('m1_height', <Parameter 'm1_height', value=0.0010148563811788365 +/- 0.000127, bounds=[-inf:inf], expr='(((1-m1_fraction)*m1_amplitude)/max(1e-15, (m1_sigma*sqrt(pi/log(2))))+(m1_fraction*m1_amplitude)/max(1e-15, (pi*m1_sigma)))'>)])"
