,name,number_functions,r2,aic,bic,power_dev,duv,model
0,gaussian_split+gaussian_split,2,0.992582081206,-8565.60688764,-8533.26582497,-0.0,1.31531511569,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.38233247369960466 +/- 0.00146, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=592.39346091160155 +/- 0.696, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=71.051827961106824 +/- 0.719, bounds=[1:300]>), ('m0_sigmar', <Parameter 'm0_sigmar', value=54.138913498686115 +/- 0.602, bounds=[1:300]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.046156157080202598 +/- 0.000597, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=443.20041975364916 +/- 0.263, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=8.6884180397891839 +/- 0.241, bounds=[1:300]>), ('m1_sigmar', <Parameter 'm1_sigmar', value=7.6830210299774322 +/- 0.24, bounds=[1:300]>)])"
1,lorentzian_sec_ord+lorentzian_sec_ord,2,0.974161901093,-8042.18545515,-8017.92965815,0.035,1.56312356279,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0012622840324448834 +/- 9.27e-06, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=583.7455649556955 +/- 0.495, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=104.30569731837106 +/- 1.05, bounds=[1:300]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0011763790135076455 +/- 2.63e-05, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=442.89857404293286 +/- 0.182, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=12.647927484775778 +/- 0.377, bounds=[1:300]>)])"
2,Gaussian+Gaussian,2,0.776379705852,-7133.62561044,-7109.36981344,-0.002,29.0433481255,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=1.232801646543774e-10 +/- 0.00141, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=711.7646226704405 +/- 1.17e+08, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=8.757512232784146 +/- 1.24e+08, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=20.622364956004763 +/- 2.92e+08, bounds=[-inf:inf], expr='2.3548200*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=5.615941048587085e-12 +/- 6.23e-05, bounds=[-inf:inf], expr='0.3989423*m0_amplitude/max(1e-15, m0_sigma)'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.21498865087969488 +/- 0.00454, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=574.4161433684546 +/- 1.8, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=75.79515359855394 +/- 1.93, bounds=[1:300]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=178.4839435969468 +/- 4.54, bounds=[-inf:inf], expr='2.3548200*m1_sigma'>), ('m1_height', <Parameter 'm1_height', value=0.0011315771890919267 +/- 2.24e-05, bounds=[-inf:inf], expr='0.3989423*m1_amplitude/max(1e-15, m1_sigma)'>)])"
3,Lognormal+Lognormal,2,-1.37068697075,-6139.65069174,-6115.39489474,-1.0,,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0010000000000020002, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=450.0, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=9.9999999999999947, bounds=[1:300]>), ('m0_height', <Parameter 'm0_height', value=7.6404212627006295e-179, bounds=[-inf:inf], expr='m0_amplitude/max(1e-15, (m0_sigma*sqrt(2*pi)))*exp(m0_sigma**2/2-m0_center)'>), ('m0_fwhm', <Parameter 'm0_fwhm', value=1.3076617583111681e+157, bounds=[-inf:inf], expr='exp(m0_center-m0_sigma**2+m0_sigma*sqrt(2*log(2)))-exp(m0_center-m0_sigma**2-m0_sigma*sqrt(2*log(2)))'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0010000000000020002, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=450.0, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=9.9999999999999947, bounds=[1:300]>), ('m1_height', <Parameter 'm1_height', value=7.6404212627006295e-179, bounds=[-inf:inf], expr='m1_amplitude/max(1e-15, (m1_sigma*sqrt(2*pi)))*exp(m1_sigma**2/2-m1_center)'>), ('m1_fwhm', <Parameter 'm1_fwhm', value=1.3076617583111681e+157, bounds=[-inf:inf], expr='exp(m1_center-m1_sigma**2+m1_sigma*sqrt(2*log(2)))-exp(m1_center-m1_sigma**2-m1_sigma*sqrt(2*log(2)))'>)])"
4,logistic_asymm_peak+logistic_asymm_peak,2,-1.38216729506,-6135.65069174,-6103.30962907,-1.0,489.724058574,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=82.857464050344703, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=709.55573783948887, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=150.6522124353958, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=95.510237932242688, bounds=[1e-15:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=83.106775142512873, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=438.41767710930151, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=51.80538258807519, bounds=[1:300]>), ('m1_s', <Parameter 'm1_s', value=80.45066179039506, bounds=[1e-15:100]>)])"
5,SplitLorentzian+SplitLorentzian,2,0.436535931718,-6742.59056815,-6710.24950548,0.033,47.6679949134,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.3829407661359928 +/- 0.145, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=438.6816017714302 +/- 3.68, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=8.377836677856182 +/- 5.18, bounds=[1:300]>), ('m0_sigma_r', <Parameter 'm0_sigma_r', value=275.83064830598255 +/- 66.7, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=284.20848498383873 +/- 66.3, bounds=[-inf:inf], expr='m0_sigma+m0_sigma_r'>), ('m0_height', <Parameter 'm0_height', value=0.0008577775564307753 +/- 0.000249, bounds=[-inf:inf], expr='2*m0_amplitude/3.1415927/max(0.0000000, (m0_sigma+m0_sigma_r))'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=2.2621377993825493e-08 +/- 0.0561, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=419.4323440738794 +/- 2.69e+06, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=1.147191229699964 +/- 3.11e+06, bounds=[1:300]>), ('m1_sigma_r', <Parameter 'm1_sigma_r', value=202.93560076794384 +/- 1.44e+08, bounds=[1:300]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=204.0827919976438 +/- 1.44e+08, bounds=[-inf:inf], expr='m1_sigma+m1_sigma_r'>), ('m1_height', <Parameter 'm1_height', value=7.056555898397244e-11 +/- 0.000138, bounds=[-inf:inf], expr='2*m1_amplitude/3.1415927/max(0.0000000, (m1_sigma+m1_sigma_r))'>)])"
6,pearson_vii+pearson_vii,2,0.990023653008,-8440.85681655,-8408.51575388,0.005,1.18598209364,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0012224544799165358 +/- 5.76e-06, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=583.31299311647331 +/- 0.319, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=72.735996823111861 +/- 0.486, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=99.999997070098033 +/- 33.3, bounds=[1e-15:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0011953043124744997 +/- 1.79e-05, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=442.77643483847595 +/- 0.117, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=9.3452800570166641 +/- 0.192, bounds=[1:300]>), ('m1_s', <Parameter 'm1_s', value=3.0234048349245932 +/- 0.603, bounds=[1e-15:100]>)])"
7,PseudoVoigt+PseudoVoigt,2,0.84898189397,-7296.9228802,-7264.58181753,0.067,15.8354809876,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.3125671663814732 +/- 0.0217, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=431.8425211167785 +/- 0.913, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=65.26553394306634 +/- 1.05, bounds=[1:300]>), ('m0_fraction', <Parameter 'm0_fraction', value=4.373154724102497 +/- 0.221, bounds=[1e-15:100]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=130.5310678861327 +/- 2.09, bounds=[-inf:inf], expr='2.0000000*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=-0.0009215077309948751 +/- 9.47e-05, bounds=[-inf:inf], expr='(((1-m0_fraction)*m0_amplitude)/max(1e-15, (m0_sigma*sqrt(pi/log(2))))+(m0_fraction*m0_amplitude)/max(1e-15, (pi*m0_sigma)))'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.26761392658840133 +/- 0.0201, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=444.31873652078116 +/- 0.484, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=23.46124381956056 +/- 0.955, bounds=[1:300]>), ('m1_fraction', <Parameter 'm1_fraction', value=1.8242306357156801 +/- 0.0256, bounds=[1e-15:100]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=46.92248763912112 +/- 1.91, bounds=[-inf:inf], expr='2.0000000*m1_sigma'>), ('m1_height', <Parameter 'm1_height', value=0.0022073459879492522 +/- 0.000121, bounds=[-inf:inf], expr='(((1-m1_fraction)*m1_amplitude)/max(1e-15, (m1_sigma*sqrt(pi/log(2))))+(m1_fraction*m1_amplitude)/max(1e-15, (pi*m1_sigma)))'>)])"
8,Moffat+Moffat,2,0.988926631511,-8396.93557058,-8364.59450791,0.009,0.939057176335,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0012288430073402754 +/- 6.15e-06, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=583.2968258309714 +/- 0.333, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=299.9999999957377 +/- 30, bounds=[1:300]>), ('m0_beta', <Parameter 'm0_beta', value=12.400426115231873 +/- 4.36, bounds=[1e-15:100]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=143.86093874103736 +/- 11.6, bounds=[-inf:inf], expr='2*m0_sigma*sqrt(2**(1.0/max(1e-3, m0_beta))-1)'>), ('m0_height', <Parameter 'm0_height', value=0.0012288430073402754 +/- 6.15e-06, bounds=[-inf:inf], expr='m0_amplitude'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0011834088096195359 +/- 1.87e-05, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=442.7872939589819 +/- 0.123, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=19.426951432670425 +/- 2.81, bounds=[1:300]>), ('m1_beta', <Parameter 'm1_beta', value=3.3636214445194996 +/- 0.795, bounds=[1e-15:100]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=18.58668156702446 +/- 0.404, bounds=[-inf:inf], expr='2*m1_sigma*sqrt(2**(1.0/max(1e-3, m1_beta))-1)'>), ('m1_height', <Parameter 'm1_height', value=0.0011834088096195359 +/- 1.87e-05, bounds=[-inf:inf], expr='m1_amplitude'>)])"
9,Lorentzian+Lorentzian,2,0.937930861695,-7673.22156321,-7648.96576621,0.062,4.96511362904,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.24872148241071412 +/- 0.00337, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=584.9547190337208 +/- 0.758, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=61.14317650710269 +/- 1.17, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=122.28635301420537 +/- 2.33, bounds=[-inf:inf], expr='2.0000000*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=0.001294838029633762 +/- 1.61e-05, bounds=[-inf:inf], expr='0.3183099*m0_amplitude/max(1e-15, m0_sigma)'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.024586546490952155 +/- 0.00108, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=443.0506550892155 +/- 0.261, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=6.497899211371024 +/- 0.386, bounds=[1:300]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=12.995798422742048 +/- 0.772, bounds=[-inf:inf], expr='2.0000000*m1_sigma'>), ('m1_height', <Parameter 'm1_height', value=0.0012044109796570783 +/- 4.85e-05, bounds=[-inf:inf], expr='0.3183099*m1_amplitude/max(1e-15, m1_sigma)'>)])"
