,name,number_functions,r2,aic,bic,power_dev,duv,model
0,lorentzian_sec_ord+lorentzian_sec_ord,2,0.944572503033,-7347.82496836,-7323.56917136,0.032,4.41937501538,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0023766271994195573 +/- 6.21e-05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=442.64327904277235 +/- 0.2, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=11.963931709675386 +/- 0.439, bounds=[1:300]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0017476860813280268 +/- 1.88e-05, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=560.16419111459845 +/- 0.993, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=134.25149030117032 +/- 2.15, bounds=[1:300]>)])"
1,Lognormal+Lognormal,2,-1.72112172514,-5708.56730436,-5684.31150736,-1.0,,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0010000000000020002, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=450.0, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=9.9999999999999947, bounds=[1:300]>), ('m0_height', <Parameter 'm0_height', value=7.6404212627006295e-179, bounds=[-inf:inf], expr='m0_amplitude/max(1e-15, (m0_sigma*sqrt(2*pi)))*exp(m0_sigma**2/2-m0_center)'>), ('m0_fwhm', <Parameter 'm0_fwhm', value=1.3076617583111681e+157, bounds=[-inf:inf], expr='exp(m0_center-m0_sigma**2+m0_sigma*sqrt(2*log(2)))-exp(m0_center-m0_sigma**2-m0_sigma*sqrt(2*log(2)))'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0010000000000020002, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=450.0, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=9.9999999999999947, bounds=[1:300]>), ('m1_height', <Parameter 'm1_height', value=7.6404212627006295e-179, bounds=[-inf:inf], expr='m1_amplitude/max(1e-15, (m1_sigma*sqrt(2*pi)))*exp(m1_sigma**2/2-m1_center)'>), ('m1_fwhm', <Parameter 'm1_fwhm', value=1.3076617583111681e+157, bounds=[-inf:inf], expr='exp(m1_center-m1_sigma**2+m1_sigma*sqrt(2*log(2)))-exp(m1_center-m1_sigma**2-m1_sigma*sqrt(2*log(2)))'>)])"
2,Lorentzian+Lorentzian,2,0.904762149584,-7119.93697564,-7095.68117864,0.046,1.55104644734,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.4445770626767386 +/- 0.00842, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=559.0233344357 +/- 1.3, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=79.64368263165925 +/- 2.06, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=159.2873652633185 +/- 4.12, bounds=[-inf:inf], expr='2.0000000*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=0.001776829946668906 +/- 2.74e-05, bounds=[-inf:inf], expr='0.3183099*m0_amplitude/max(1e-15, m0_sigma)'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.051131152533424484 +/- 0.00237, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=442.6754154843835 +/- 0.244, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=6.525915050354403 +/- 0.384, bounds=[1:300]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=13.051830100708806 +/- 0.768, bounds=[-inf:inf], expr='2.0000000*m1_sigma'>), ('m1_height', <Parameter 'm1_height', value=0.0024939877280374984 +/- 9.34e-05, bounds=[-inf:inf], expr='0.3183099*m1_amplitude/max(1e-15, m1_sigma)'>)])"
3,Gaussian+Gaussian,2,0.698160715943,-6634.30621232,-6610.05041532,0.02,21.8080950277,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.3922463599315539 +/- 0.0282, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=546.4997964009272 +/- 2.91, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=92.15952208482568 +/- 4.32, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=217.01908579578924 +/- 10.2, bounds=[-inf:inf], expr='2.3548200*m0_sigma'>), ('m0_height', <Parameter 'm0_height', value=0.0016979652395950023 +/- 6.19e-05, bounds=[-inf:inf], expr='0.3989423*m0_amplitude/max(1e-15, m0_sigma)'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=5.100652130884126e-10 +/- 0.06, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=772.3149259019219 +/- 4.56e+09, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=299.8201711630913 +/- 1.55e+09, bounds=[1:300]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=706.0225354582707 +/- 3.64e+09, bounds=[-inf:inf], expr='2.3548200*m1_sigma'>), ('m1_height', <Parameter 'm1_height', value=6.786954609161106e-13 +/- 7.97e-05, bounds=[-inf:inf], expr='0.3989423*m1_amplitude/max(1e-15, m1_sigma)'>)])"
4,gaussian_split+gaussian_split,2,0.701045039317,-6636.38237991,-6604.04131725,0.025,20.7151259264,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.39255695387471856 +/- 1.91e+06, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=530.50818552224939 +/- 1.57e+05, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=78.927340541268535 +/- 4.61e+04, bounds=[1:300]>), ('m0_sigmar', <Parameter 'm0_sigmar', value=105.50897840398454 +/- 1.7e+05, bounds=[1:300]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.39255713056228869 +/- 1.91e+06, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=530.49121826080182 +/- 1.57e+05, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=78.91667716326107 +/- 4.61e+04, bounds=[1:300]>), ('m1_sigmar', <Parameter 'm1_sigmar', value=105.51604878303174 +/- 1.7e+05, bounds=[1:300]>)])"
5,pearson_vii+pearson_vii,2,0.969053318806,-7591.2218171,-7558.88075443,0.015,6.96367636025,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.0016975924112049299 +/- 1.37e-05, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=561.57965232664651 +/- 0.777, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=93.975718936556291 +/- 1.21, bounds=[1:300]>), ('m0_s', <Parameter 'm0_s', value=99.999998296991109 +/- 363, bounds=[1e-15:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.0022505691413220461 +/- 4.94e-05, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=442.58933405481076 +/- 0.158, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=8.7721782456979689 +/- 0.254, bounds=[1:300]>), ('m1_s', <Parameter 'm1_s', value=16.384703458082821 +/- 27.5, bounds=[1e-15:100]>)])"
6,SkewedGaussian+SkewedGaussian,2,0.983003638163,-7843.5129928,-7811.17193013,0.012,1.49104032208,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.33395014773149978 +/- 0.00217, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=485.26262763086839 +/- 0.893, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=121.64247036079374 +/- 1.36, bounds=[1:300]>), ('m0_gamma', <Parameter 'm0_gamma', value=2.5635538340731898 +/- 0.108, bounds=[-100:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.049976961126925068 +/- 0.00101, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=435.54820559873031 +/- 0.398, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=11.541568529602507 +/- 0.437, bounds=[1:300]>), ('m1_gamma', <Parameter 'm1_gamma', value=1.5408767713499572 +/- 0.169, bounds=[-100:100]>)])"
7,SplitLorentzian+SplitLorentzian,2,0.774766577806,-6755.59090118,-6723.24983851,0.04,29.0210354817,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.04830248447517216 +/- 0.00513, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=442.5230439676607 +/- 1.07, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=8.299250917434001 +/- 0.8, bounds=[1:300]>), ('m0_sigma_r', <Parameter 'm0_sigma_r', value=2.1922224027279187 +/- 0.802, bounds=[1:300]>), ('m0_fwhm', <Parameter 'm0_fwhm', value=10.49147332016192 +/- 1.1, bounds=[-inf:inf], expr='m0_sigma+m0_sigma_r'>), ('m0_height', <Parameter 'm0_height', value=0.002930981691390226 +/- 0.000478, bounds=[-inf:inf], expr='2*m0_amplitude/3.1415927/max(0.0000000, (m0_sigma+m0_sigma_r))'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.5433751859894874 +/- 0.0168, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=445.53051881811217 +/- 0.855, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=1.2360181283292415 +/- 2.08, bounds=[1:300]>), ('m1_sigma_r', <Parameter 'm1_sigma_r', value=220.2878855082693 +/- 9.74, bounds=[1:300]>), ('m1_fwhm', <Parameter 'm1_fwhm', value=221.52390363659856 +/- 10, bounds=[-inf:inf], expr='m1_sigma+m1_sigma_r'>), ('m1_height', <Parameter 'm1_height', value=0.0015615623254455967 +/- 4.13e-05, bounds=[-inf:inf], expr='2*m1_amplitude/3.1415927/max(0.0000000, (m1_sigma+m1_sigma_r))'>)])"
8,Voigt+Voigt,2,0.942704433313,-7333.86989413,-7309.61409712,0.036,5.31631892375,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.04936008007375248 +/- 0.00163, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=442.64806917953786 +/- 0.205, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=4.358405322491817 +/- 0.164, bounds=[1:300]>), ('m0_gamma', <Parameter 'm0_gamma', value=4.358405322491817 +/- 0.164, bounds=[-inf:inf], expr='m0_sigma'>), ('m0_fwhm', <Parameter 'm0_fwhm', value=15.695884285319121 +/- 0.36, bounds=[-inf:inf], expr='1.0692*m0_gamma+sqrt(0.8664*m0_gamma**2+5.545083*m0_sigma**2)'>), ('m0_height', <Parameter 'm0_height', value=0.0023636871828916417 +/- 5.57e-05, bounds=[-inf:inf], expr='(m0_amplitude/(max(1e-15, m0_sigma*sqrt(2*pi))))*wofz((1j*m0_gamma)/(max(1e-15, m0_sigma*sqrt(2)))).real'>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.40089009729427183 +/- 0.00516, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=561.2906036842843 +/- 1.03, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=48.62444519129829 +/- 0.809, bounds=[1:300]>), ('m1_gamma', <Parameter 'm1_gamma', value=48.62444519129829 +/- 0.809, bounds=[-inf:inf], expr='m1_sigma'>), ('m1_fwhm', <Parameter 'm1_fwhm', value=175.11075925451462 +/- 1.77, bounds=[-inf:inf], expr='1.0692*m1_gamma+sqrt(0.8664*m1_gamma**2+5.545083*m1_sigma**2)'>), ('m1_height', <Parameter 'm1_height', value=0.0017207288112975933 +/- 1.49e-05, bounds=[-inf:inf], expr='(m1_amplitude/(max(1e-15, m1_sigma*sqrt(2*pi))))*wofz((1j*m1_gamma)/(max(1e-15, m1_sigma*sqrt(2)))).real'>)])"
9,ExponentialGaussian+ExponentialGaussian,2,0.976406935056,-7705.44456974,-7673.10350707,0.019,2.51078889974,"Parameters([('m0_amplitude', <Parameter 'm0_amplitude', value=0.046158264671004479 +/- 0.00108, bounds=[1e-15:100]>), ('m0_center', <Parameter 'm0_center', value=437.74776761388637 +/- 0.405, bounds=[400:800]>), ('m0_sigma', <Parameter 'm0_sigma', value=6.3818167950105558 +/- 0.257, bounds=[1:300]>), ('m0_gamma', <Parameter 'm0_gamma', value=0.17244811193958753 +/- 0.0191, bounds=[-100:100]>), ('m1_amplitude', <Parameter 'm1_amplitude', value=0.34308468098816591 +/- 0.0027, bounds=[1e-15:100]>), ('m1_center', <Parameter 'm1_center', value=511.15906221917049 +/- 1.67, bounds=[400:800]>), ('m1_sigma', <Parameter 'm1_sigma', value=62.083827655219352 +/- 1.36, bounds=[1:300]>), ('m1_gamma', <Parameter 'm1_gamma', value=0.016010175196228715 +/- 0.000744, bounds=[-100:100]>)])"
